model,dataset,depth,pool,similarity,effect,ci_low,ci_high,effective_n
mistral-7b,aqua,complex,all,0.4356335582733154,-0.031483460922524555,-0.10955038216572807,0.04010585127840953,247.42074956431395
mistral-7b,aqua,complex,all,0.4441108656600118,-0.03355604105405585,-0.1127056083669536,0.03976629654810382,233.05927604374193
mistral-7b,aqua,complex,all,0.4525881730467081,-0.03520787903118863,-0.11579724485564856,0.0412639276552736,221.47435533444482
mistral-7b,aqua,complex,all,0.46106548043340445,-0.03645005633299945,-0.11803926937074777,0.0425235622863024,212.91132032747865
mistral-7b,aqua,complex,all,0.4695427878201008,-0.03730835542543239,-0.11958791973882296,0.0415517814438117,207.24043098916772
mistral-7b,aqua,complex,all,0.4780200952067971,-0.037816206809824844,-0.12050765077690777,0.04195160852459008,204.2071761036663
mistral-7b,aqua,complex,all,0.4864974025934935,-0.038009596980633005,-0.12099660233031563,0.041965760873499666,203.55880727674827
mistral-7b,aqua,complex,all,0.4949747099801898,-0.03792410752868481,-0.12159719157270413,0.04148192678816719,205.0961074225215
mistral-7b,aqua,complex,all,0.5034520173668862,-0.037593791966719095,-0.1217010578848829,0.04245267372800136,208.68533231232593
mistral-7b,aqua,complex,all,0.5119293247535825,-0.037051417061530124,-0.12149609672411434,0.0432679782399395,214.24856125690468
mistral-7b,aqua,complex,all,0.5204066321402788,-0.03632957538729767,-0.1209970956498289,0.04418769809221629,221.73919298322718
mistral-7b,aqua,complex,all,0.5288839395269751,-0.03546221124318386,-0.11995003051830994,0.044539338108542964,231.10261994196432
mistral-7b,aqua,complex,all,0.5373612469136715,-0.034486135214012094,-0.11764118780671791,0.044936860750951074,242.21925619865385
mistral-7b,aqua,complex,all,0.5458385543003679,-0.03344212027914772,-0.1146335378809122,0.044998329428658564,254.82881576211946
mistral-7b,aqua,complex,all,0.5543158616870643,-0.03237519539151302,-0.11210082605827386,0.04508355510718285,268.4436380590892
mistral-7b,aqua,complex,all,0.5627931690737605,-0.03133382226448537,-0.10990285339386324,0.04469687286377405,282.2772953660362
mistral-7b,aqua,complex,all,0.5712704764604568,-0.030367800011171973,-0.1097893682229346,0.04373846272654333,295.23847690327153
mistral-7b,aqua,complex,all,0.5797477838471532,-0.029525005935135042,-0.108426992857845,0.043297162970403966,306.0494499527678
mistral-7b,aqua,complex,all,0.5882250912338496,-0.02884741059185506,-0.10634578871486573,0.04395614813482136,313.5106126187471
mistral-7b,aqua,complex,all,0.5967023986205459,-0.02836710041027293,-0.10368718252185598,0.04345148209678327,316.83801483537655
mistral-7b,aqua,complex,all,0.6051797060072422,-0.028103170279050717,-0.10159417995364178,0.04466471790297815,315.9108608373636
mistral-7b,aqua,complex,all,0.6136570133939385,-0.028060218291017527,-0.10081065747870363,0.04586120119379289,311.28461115649077
mistral-7b,aqua,complex,all,0.6221343207806349,-0.02822879755894354,-0.10098451213014174,0.04582633309693795,303.967556251734
mistral-7b,aqua,complex,all,0.6306116281673313,-0.028587686245346265,-0.10043539673400383,0.04556302379605542,295.09924537867397
mistral-7b,aqua,complex,all,0.6390889355540276,-0.02910741317812239,-0.09847218365179622,0.043341941005451176,285.6875601067705
mistral-7b,aqua,complex,all,0.6475662429407238,-0.029754266322484655,-0.1015348692134816,0.04330376259277061,276.47714599934534
mistral-7b,aqua,complex,all,0.6560435503274202,-0.03049404937173703,-0.10319750395385784,0.04336216390249569,267.93380754287296
mistral-7b,aqua,complex,all,0.6645208577141166,-0.031295067842335364,-0.10516698565612989,0.04244266105464322,260.2930220516482
mistral-7b,aqua,complex,all,0.672998165100813,-0.03213010413458877,-0.10563946401000901,0.04152041380363563,253.62696608435692
mistral-7b,aqua,complex,all,0.6814754724875093,-0.03297738165557236,-0.10513100228263816,0.040192608551122035,247.90461954901534
mistral-7b,aqua,complex,all,0.6899527798742056,-0.03382067110533501,-0.10518486128370279,0.039440511071573627,243.03608965053908
mistral-7b,aqua,complex,all,0.6984300872609019,-0.03464875441155729,-0.10533560820271054,0.03902067687744041,238.90124634874704
mistral-7b,aqua,complex,all,0.7069073946475983,-0.03545445779862214,-0.10622623863024104,0.039043142102004366,235.36606805924458
mistral-7b,aqua,complex,all,0.7153847020342947,-0.03623342612928415,-0.10793742942718165,0.03813322496743288,232.29052158002008
mistral-7b,aqua,complex,all,0.723862009420991,-0.036982761502283246,-0.10893289988264666,0.03736415956047997,229.53117576662714
mistral-7b,aqua,complex,all,0.7323393168076873,-0.03769960630710816,-0.11034380026797015,0.037128809854496334,226.94096889378974
mistral-7b,aqua,complex,all,0.7408166241943837,-0.038379722543748614,-0.11182810440443057,0.036645409633888876,224.36794504095968
mistral-7b,aqua,complex,all,0.74929393158108,-0.039016107971535756,-0.1133333969897412,0.03660443639827127,221.65440343922697
mistral-7b,aqua,complex,all,0.7577712389677763,-0.03959769567099852,-0.1146184975354586,0.03621963988554021,218.63770505704946
mistral-7b,aqua,complex,all,0.7662485463544727,-0.040108205875663175,-0.11557205363147464,0.03760485288019573,215.1538314007809
mistral-7b,aqua,complex,all,0.774725853741169,-0.0405252556411615,-0.11655759607804274,0.03868940814710623,211.04453188539694
mistral-7b,aqua,complex,all,0.7832031611278654,-0.0408198796726807,-0.11725697325572017,0.03862009936714082,206.16835760354283
mistral-7b,aqua,complex,all,0.7916804685145618,-0.040956667758079594,-0.1182169328752608,0.04003575536216268,200.41494515185323
mistral-7b,aqua,complex,all,0.800157775901258,-0.04089476848555538,-0.1177917879457416,0.04085114855949864,193.7206353403169
mistral-7b,aqua,complex,all,0.8086350832879544,-0.04059002516940535,-0.11613538574307754,0.042103460166923734,186.08221796837458
mistral-7b,aqua,complex,all,0.8171123906746507,-0.039998469622006365,-0.11691301942806903,0.04520441083753911,177.56489396416336
mistral-7b,aqua,complex,all,0.8255896980613471,-0.03908126911618021,-0.11637915993993524,0.04494629397389976,168.30109404524606
mistral-7b,aqua,complex,all,0.8340670054480434,-0.03781097393730648,-0.11910296888259748,0.04686361170651403,158.47884093515825
mistral-7b,aqua,complex,all,0.8425443128347397,-0.036178545308468486,-0.11823906718747458,0.049547075890971154,148.32135518747447
mistral-7b,aqua,complex,all,0.8510216202214361,-0.03420020521708992,-0.12010447056553641,0.054200015539247026,138.06233595226368
mistral-7b,aqua,complex,all,0.8594989276081324,-0.031922759316996806,-0.11953724497264348,0.05761564195789086,127.92249766408892
mistral-7b,aqua,complex,all,0.8679762349948288,-0.029425879549268195,-0.11947919434228702,0.061887800218516135,118.09198680610986
mistral-7b,aqua,complex,all,0.8764535423815251,-0.0268200735667052,-0.11990719502650217,0.06859358868593712,108.72083014875724
mistral-7b,aqua,complex,all,0.8849308497682215,-0.024239792737441035,-0.12171488698722704,0.07712610170919866,99.91686492781491
mistral-7b,aqua,complex,all,0.8934081571549177,-0.02183222280142494,-0.12224146728235105,0.08464772026972295,91.74884309470558
mistral-7b,aqua,complex,all,0.9018854645416141,-0.01974343456371526,-0.12070438563113352,0.08851565258067325,84.25203656066012
mistral-7b,aqua,complex,all,0.9103627719283105,-0.01810432637795456,-0.12087939160306549,0.09363349514716612,77.43436842762854
mistral-7b,aqua,complex,all,0.9188400793150068,-0.017018858175841534,-0.12107398754053222,0.09705302919387446,71.2821357084413
mistral-7b,aqua,complex,all,0.9273173867017032,-0.016556432380999568,-0.12004472083615832,0.09886717833180843,65.76516018105885
mistral-7b,aqua,complex,all,0.9357946940883994,-0.016749188775315303,-0.12045244712994309,0.10268770918940694,60.84148947305971
mistral-7b,aqua,complex,all,0.9442720014750958,-0.017593860390740686,-0.12305727770673902,0.1015219886790351,56.461708283666965
mistral-7b,aqua,complex,all,0.9527493088617922,-0.019057034382762544,-0.12444201294024375,0.1014755308673706,52.57276715339326
mistral-7b,aqua,complex,all,0.9612266162484885,-0.021082327959626047,-0.13072575296321268,0.09975555946077917,49.12116564180305
mistral-7b,aqua,complex,all,0.9697039236351849,-0.023598076581403962,-0.13740654074393963,0.0969578569574963,46.05536948606442
mistral-7b,aqua,complex,all,0.9781812310218811,-0.02652447675377962,-0.1427429738325227,0.09409953713944753,43.32744380157883
mistral-7b,aqua,complex,errors,0.2999970614910126,0.00970828413447326,-0.08396015060243353,0.09850406923193926,114.04398975084378
mistral-7b,aqua,complex,errors,0.30855291329324247,0.009717830488929192,-0.08292750830842466,0.09747696213817066,117.1325538306958
mistral-7b,aqua,complex,errors,0.3171087650954723,0.009723973599987723,-0.0820378078568036,0.09616303728786628,121.1602172139416
mistral-7b,aqua,complex,errors,0.3256646168977022,0.009723851791728707,-0.08050083004313084,0.09425543108941681,126.39556968193432
mistral-7b,aqua,complex,errors,0.3342204686999321,0.009713469045234291,-0.07864369735743343,0.09305414898908479,133.16105395183206
mistral-7b,aqua,complex,errors,0.34277632050216195,0.009687526302592326,-0.07638321064768414,0.09172652374423441,141.81380747152474
mistral-7b,aqua,complex,errors,0.35133217230439184,0.009639390462982886,-0.07362944784606093,0.09026577195542584,152.68252806886517
mistral-7b,aqua,complex,errors,0.35988802410662174,0.009561309760552418,-0.07229847154776013,0.08946206783511779,165.91891496475753
mistral-7b,aqua,complex,errors,0.3684438759088516,0.009444976945847021,-0.07150561038209528,0.08889704950599138,181.2173195413831
mistral-7b,aqua,complex,errors,0.3769997277110815,0.009282475738835649,-0.07183078290779643,0.0887832222091952,197.41788569085355
mistral-7b,aqua,complex,errors,0.3855555795133113,0.009067510296192337,-0.06969266370318546,0.08390087069206884,212.22257119802015
mistral-7b,aqua,complex,errors,0.3941114313155412,0.008796647048698788,-0.06690578858631666,0.08024769369281305,222.55052054458403
mistral-7b,aqua,complex,errors,0.4026672831177711,0.008470183936012059,-0.06496332948872055,0.07972922433547897,225.8829616497178
mistral-7b,aqua,complex,errors,0.41122313492000095,0.008092305214475603,-0.06502481352938201,0.08108569389548556,221.81757694111437
mistral-7b,aqua,complex,errors,0.41977898672223085,0.007670404668160809,-0.06724008760023271,0.0812300824294676,212.29128411242417
mistral-7b,aqua,complex,errors,0.42833483852446075,0.007213762380071745,-0.06911981528499321,0.08226846077924557,200.25890685243883
mistral-7b,aqua,complex,errors,0.4368906903266906,0.006731969866669053,-0.06956020338067484,0.0832605745651128,188.23794328205375
mistral-7b,aqua,complex,errors,0.4454465421289205,0.006233509832578911,-0.07238966239493273,0.08489278077867597,177.73021531845222
mistral-7b,aqua,complex,errors,0.4540023939311504,0.0057247413001231305,-0.07248923180627814,0.08485453891422456,169.36244300472842
mistral-7b,aqua,complex,errors,0.4625582457333802,0.005209337138327091,-0.073418417347436,0.08605153152693008,163.23851873190694
mistral-7b,aqua,complex,errors,0.4711140975356101,0.004688074442152418,-0.07683244724244398,0.08648202189340957,159.22641030917217
mistral-7b,aqua,complex,errors,0.47966994933784,0.004158825577377944,-0.07859190911234228,0.0869026716924193,157.12737111751485
mistral-7b,aqua,complex,errors,0.48822580114006986,0.0036166190904337093,-0.08051237337353381,0.08746603482318498,156.75802534996328
mistral-7b,aqua,complex,errors,0.49678165294229976,0.003053697077656645,-0.08235130960837735,0.08753263760892796,157.9824587549702
mistral-7b,aqua,complex,errors,0.5053375047445297,0.0024595598753189194,-0.08196265126499849,0.08715373333395841,160.71833525859304
mistral-7b,aqua,complex,errors,0.5138933565467595,0.0018210461405079523,-0.08127764713037104,0.08693064180695959,164.92872824451217
mistral-7b,aqua,complex,errors,0.5224492083489893,0.0011225421683721977,-0.08066182966212769,0.08611621532131501,170.60317764084039
mistral-7b,aqua,complex,errors,0.5310050601512193,0.0003464457044026034,-0.07944981834522308,0.08552899776789101,177.72649485683888
mistral-7b,aqua,complex,errors,0.5395609119534491,-0.0005259807114605833,-0.08007018688554894,0.08377282050716907,186.23132377212812
mistral-7b,aqua,complex,errors,0.548116763755679,-0.0015132570551557266,-0.08154680050925778,0.08293560811393332,195.93141414054122
mistral-7b,aqua,complex,errors,0.5566726155579089,-0.0026318001072532593,-0.08096835823696777,0.07986764666688034,206.44010679785487
mistral-7b,aqua,complex,errors,0.5652284673601388,-0.0038936065829566517,-0.07920472520653288,0.07641339084895979,217.09653640028833
mistral-7b,aqua,complex,errors,0.5737843191623686,-0.005303787915086019,-0.07921045620170983,0.07383459808033231,226.94873798806532
mistral-7b,aqua,complex,errors,0.5823401709645986,-0.006858416644532797,-0.07987105064760315,0.07118345083265387,234.8587936832832
mistral-7b,aqua,complex,errors,0.5908960227668284,-0.008543236627716678,-0.07978723852501232,0.06714654259767036,239.76104704753632
mistral-7b,aqua,complex,errors,0.5994518745690582,-0.01033371510330821,-0.07937736680507464,0.06593420358108595,241.00052184877313
mistral-7b,aqua,complex,errors,0.6080077263712882,-0.012196645422920836,-0.0826752528070863,0.06400222121782075,238.57298337182013
mistral-7b,aqua,complex,errors,0.616563578173518,-0.014093111124756324,-0.08521053334928828,0.060626154473328836,233.11039168854413
mistral-7b,aqua,complex,errors,0.6251194299757479,-0.015982244398743253,-0.08864181045805208,0.05909949298890196,225.6248793049698
mistral-7b,aqua,complex,errors,0.6336752817779778,-0.017825012891723176,-0.09051359903709986,0.05692345833046502,217.17842236591636
mistral-7b,aqua,complex,errors,0.6422311335802077,-0.019587323614271696,-0.09284042509420128,0.054927300392553294,208.64365166535507
mistral-7b,aqua,complex,errors,0.6507869853824375,-0.021241994394490978,-0.09661817089682191,0.054084306080563575,200.61137620486147
mistral-7b,aqua,complex,errors,0.6593428371846675,-0.02276948158099989,-0.09920434767912667,0.05224735144889848,193.4080192854947
mistral-7b,aqua,complex,errors,0.6678986889868973,-0.024157535153293427,-0.10118262418190073,0.054145980115514504,187.16155364354896
mistral-7b,aqua,complex,errors,0.6764545407891271,-0.02540010662466574,-0.10198509952266323,0.0532275577807727,181.8720898263361
mistral-7b,aqua,complex,errors,0.6850103925913571,-0.026495860100232575,-0.10514918996586625,0.05248483177279821,177.46763194247814
mistral-7b,aqua,complex,errors,0.6935662443935869,-0.027446575902009978,-0.10772498731654202,0.05194590846776999,173.8413001183464
mistral-7b,aqua,complex,errors,0.7021220961958168,-0.028255641684157458,-0.10993602670054028,0.05119773366663367,170.87304464511573
mistral-7b,aqua,complex,errors,0.7106779479980467,-0.02892673688697944,-0.11104750250823142,0.05005067263076432,168.44036201198486
mistral-7b,aqua,complex,errors,0.7192337998002766,-0.02946275224574352,-0.11312041792993821,0.04935312489265938,166.42191026615427
mistral-7b,aqua,complex,errors,0.7277896516025064,-0.02986495118355872,-0.1136722700688384,0.05015509991058974,164.6968543922515
mistral-7b,aqua,complex,errors,0.7363455034047364,-0.030132370346165734,-0.11403927310735248,0.05106578784871319,163.14189381598177
mistral-7b,aqua,complex,errors,0.7449013552069662,-0.03026146561602554,-0.11505310844020251,0.052112280400697035,161.6274040397289
mistral-7b,aqua,complex,errors,0.753457207009196,-0.030246031107970188,-0.11538381705097848,0.05375126921864576,160.01395716680423
mistral-7b,aqua,complex,errors,0.762013058811426,-0.030077446036609917,-0.11497778118834955,0.054883992417272355,158.15060002212707
mistral-7b,aqua,complex,errors,0.7705689106136558,-0.02974533201612927,-0.11651301611333828,0.05541235414785672,155.8765282042864
mistral-7b,aqua,complex,errors,0.7791247624158857,-0.02923872385886826,-0.11646322771785647,0.0555515555913566,153.02795091534563
mistral-7b,aqua,complex,errors,0.7876806142181156,-0.028547859890162088,-0.11871864209579215,0.05551441828107937,149.45159344776673
mistral-7b,aqua,complex,errors,0.7962364660203455,-0.027666669189948662,-0.12072703680515946,0.057976360939141804,145.02494976034785
mistral-7b,aqua,complex,errors,0.8047923178225753,-0.02659595662618084,-0.11900603922883932,0.057587620372525024,139.68081849186473
mistral-7b,aqua,complex,errors,0.8133481696248053,-0.0253471479329496,-0.11690631056116842,0.057988852713021094,133.43032846010237
mistral-7b,aqua,complex,errors,0.8219040214270351,-0.02394625375970488,-0.1155149033736702,0.06061338450053893,126.37621502113245
mistral-7b,aqua,complex,errors,0.830459873229265,-0.022437465609589893,-0.11421461409747449,0.06230050122893985,118.70880721546993
mistral-7b,aqua,complex,errors,0.8390157250314949,-0.020885567058936537,-0.11295862606628652,0.06560640345747787,110.68219802533766
mistral-7b,aqua,complex,errors,0.8475715768337247,-0.019376228409356596,-0.11664290056604999,0.07117856274194667,102.57569911365667
mistral-7b,aqua,complex,errors,0.8561274286359546,-0.01801336604809386,-0.11850404409614557,0.07371218555690098,94.65172579580582
mistral-7b,aqua,complex,errors,0.8646832804381845,-0.016913167480892662,-0.11811535405612164,0.07565045273174585,87.122059348011
mistral-7b,aqua,complex,errors,0.8732391322404144,-0.016195084560277614,-0.11892234719669383,0.07867277172625253,80.12987969476148
mistral-7b,aqua,complex,errors,0.8817949840426442,-0.015970912354399004,-0.1226919578972465,0.08337066477109265,73.74831063267168
mistral-7b,aqua,complex,errors,0.8903508358448742,-0.016333719566258127,-0.12766183988837043,0.08446997857607012,67.99116614249596
mistral-7b,aqua,complex,errors,0.898906687647104,-0.017348604429048446,-0.13015526533119415,0.08487807933087071,62.829755742582506
mistral-7b,aqua,complex,errors,0.9074625394493339,-0.019046896091087537,-0.1337363600076116,0.08346654511393078,58.210399022415075
mistral-7b,aqua,complex,errors,0.9160183912515638,-0.021424616434840428,-0.13941173128536552,0.0855713023944161,54.06923642317307
mistral-7b,aqua,complex,errors,0.9245742430537937,-0.02444505440783188,-0.1438924197177511,0.08708575382427523,50.34283864575218
mistral-7b,aqua,complex,errors,0.9331300948560235,-0.028044510649353576,-0.14545930997438794,0.08787289015803428,46.974505080629264
mistral-7b,aqua,complex,errors,0.9416859466582534,-0.03213985384080111,-0.15237132790987595,0.08539709057027832,43.91695225971071
mistral-7b,aqua,complex,errors,0.9502417984604833,-0.03663652101264489,-0.15990074226116657,0.07820388338163828,41.13244414749073
mistral-7b,aqua,complex,errors,0.9587976502627131,-0.04143587888122232,-0.16728149592207267,0.07322778017133354,38.59144081178909
mistral-7b,aqua,complex,errors,0.9673535020649431,-0.04644127532873991,-0.1772649480702415,0.06850358954558083,36.270659588548256
mistral-7b,aqua,complex,errors,0.9759093538671729,-0.051562507078788324,-0.18263500189750476,0.06360703561271226,34.15116279575974
mistral-7b,aqua,complex,errors,0.9844652056694028,-0.056718730222839665,-0.18751554973798787,0.058136773835817855,32.21680233793365
mistral-7b,aqua,complex,correct,0.2999961543083191,-0.008732332365897108,-0.13982086748222333,0.12124539323782067,39.613478870764354
mistral-7b,aqua,complex,correct,0.3082761441767216,-0.011168589690636277,-0.1415000019246816,0.11923718777595822,40.37979793161052
mistral-7b,aqua,complex,correct,0.31655613404512406,-0.014244665207918719,-0.14403260818197194,0.11343195922590565,41.36720028755484
mistral-7b,aqua,complex,correct,0.32483612391352656,-0.018103388765847012,-0.1484328252646075,0.1078787917009128,42.63541584906067
mistral-7b,aqua,complex,correct,0.333116113781929,-0.022904181661384377,-0.1520476818866816,0.1037460586929806,44.25583138612659
mistral-7b,aqua,complex,correct,0.3413961036503315,-0.02881559194761993,-0.15643192457216307,0.09527797277421038,46.308634627045635
mistral-7b,aqua,complex,correct,0.34967609351873397,-0.03600154595085193,-0.16250253751328556,0.08791521826116848,48.87296114188853
mistral-7b,aqua,complex,correct,0.35795608338713647,-0.04459984943378197,-0.17041229959403442,0.07688633749168834,52.00322097089696
mistral-7b,aqua,complex,correct,0.366236073255539,-0.05469280055320888,-0.17800209457600727,0.06473952754601649,55.68202088369002
mistral-7b,aqua,complex,correct,0.3745160631239414,-0.06627244391530523,-0.18855057001909117,0.05056874103775949,59.743215539708196
mistral-7b,aqua,complex,correct,0.38279605299234387,-0.07920682647421873,-0.20077914762298857,0.03579852554277829,63.78156789619362
mistral-7b,aqua,complex,correct,0.3910760428607464,-0.09321737208920411,-0.2146216906370147,0.023956696121209053,67.12151086672665
mistral-7b,aqua,complex,correct,0.3993560327291489,-0.10787876473073209,-0.2315732082402082,0.009430915663174872,68.96909707171207
mistral-7b,aqua,complex,correct,0.40763602259755133,-0.12264899528555152,-0.25122058360956795,-0.0016222176376202158,68.78276071914482
mistral-7b,aqua,complex,correct,0.41591601246595383,-0.13692805506003655,-0.26880837995546475,-0.012057124150196148,66.6220535396737
mistral-7b,aqua,complex,correct,0.4241960023343563,-0.1501325621672103,-0.2839455058907991,-0.02021647399799436,63.12711247201435
mistral-7b,aqua,complex,correct,0.4324759922027588,-0.16176648154398052,-0.30015411406694215,-0.025111443300838643,59.14516939109599
mistral-7b,aqua,complex,correct,0.4407559820711613,-0.17146957534276389,-0.3161901778326182,-0.02860286424280122,55.36484362519639
mistral-7b,aqua,complex,correct,0.44903597193956374,-0.1790344917188408,-0.3284376063404844,-0.03107422885261245,52.18453786985223
mistral-7b,aqua,complex,correct,0.4573159618079662,-0.18439493348710226,-0.3370658363576907,-0.03308299621972608,49.76137384551814
mistral-7b,aqua,complex,correct,0.4655959516763687,-0.18759528028388522,-0.3421827709954821,-0.03159169652380805,48.11046773938533
mistral-7b,aqua,complex,correct,0.4738759415447712,-0.18875397951255501,-0.34644187405436533,-0.0331724718712825,47.184126989981415
mistral-7b,aqua,complex,correct,0.4821559314131737,-0.18803033556670384,-0.34426861579423823,-0.03251654070005543,46.917876734925414
mistral-7b,aqua,complex,correct,0.49043592128157615,-0.18559989815426456,-0.3412782531774422,-0.029958144849930368,47.25177036905317
mistral-7b,aqua,complex,correct,0.4987159111499786,-0.18163974767622876,-0.3359309126713686,-0.02675378604645017,48.13716272582454
mistral-7b,aqua,complex,correct,0.5069959010183811,-0.17632251538195856,-0.3287802512393724,-0.02485641219304415,49.53557164676711
mistral-7b,aqua,complex,correct,0.5152758908867836,-0.16981686424694756,-0.31908029442416663,-0.019605083869456506,51.412984927430884
mistral-7b,aqua,complex,correct,0.5235558807551861,-0.16229190421841244,-0.3084885137372837,-0.01669834266028748,53.73108506242947
mistral-7b,aqua,complex,correct,0.5318358706235886,-0.15392316336738526,-0.2965479105060053,-0.007372864958725566,56.436269251373886
mistral-7b,aqua,complex,correct,0.540115860491991,-0.144898018055904,-0.284839359130917,-0.0037176672530312123,59.447865188336145
mistral-7b,aqua,complex,correct,0.5483958503603935,-0.13541882529949834,-0.27445969817885796,0.0023025076017277575,62.648392511534475
mistral-7b,aqua,complex,correct,0.5566758402287959,-0.12570244471874226,-0.26296041110116486,0.00829476987822695,65.88048417567244
mistral-7b,aqua,complex,correct,0.5649558300971984,-0.11597546220453671,-0.24989338828175175,0.011506520862693843,68.95570247538579
mistral-7b,aqua,complex,correct,0.5732358199656009,-0.10646525311970716,-0.23417818439919072,0.012136743238858409,71.67795642305971
mistral-7b,aqua,complex,correct,0.5815158098340034,-0.09738795384574647,-0.21848297407920003,0.019107914194636325,73.87778561319432
mistral-7b,aqua,complex,correct,0.5897957997024059,-0.08893523094479268,-0.21001049155772009,0.02452077813306797,75.44624822340917
mistral-7b,aqua,complex,correct,0.5980757895708084,-0.08126218150211358,-0.19857828370321087,0.02915457172726078,76.35446374614872
mistral-7b,aqua,complex,correct,0.6063557794392109,-0.07447857477760032,-0.18696468620080786,0.034484314695082285,76.65077060664947
mistral-7b,aqua,complex,correct,0.6146357693076133,-0.0686449491057509,-0.18025634162249693,0.03673519801156135,76.43853351713037
mistral-7b,aqua,complex,correct,0.6229157591760158,-0.06377401773627252,-0.17645469353102586,0.04166288004371803,75.84579481791502
mistral-7b,aqua,complex,correct,0.6311957490444182,-0.05983675071267825,-0.17635470223831365,0.044536070788279564,74.99839634278628
mistral-7b,aqua,complex,correct,0.6394757389128207,-0.05677170430376725,-0.17176584783640506,0.049274222468520076,74.00291673507517
mistral-7b,aqua,complex,correct,0.6477557287812232,-0.0544958360073131,-0.16848344511973054,0.050954786275423894,72.93983552931628
mistral-7b,aqua,complex,correct,0.6560357186496257,-0.05291515829941545,-0.16893309800346268,0.05426595873703103,71.86395936990931
mistral-7b,aqua,complex,correct,0.6643157085180282,-0.051934000744294634,-0.1682899802589613,0.055856960581520614,70.8085276578272
mistral-7b,aqua,complex,correct,0.6725956983864307,-0.051462177541395975,-0.16851159330179846,0.05592955951917926,69.79029764980012
mistral-7b,aqua,complex,correct,0.6808756882548332,-0.051419839961446764,-0.17082125350657096,0.05736409863079546,68.8141138085275
mistral-7b,aqua,complex,correct,0.6891556781232356,-0.05174014391363911,-0.172390034074501,0.059409997145701325,67.87640723395981
mistral-7b,aqua,complex,correct,0.6974356679916381,-0.05237006204517689,-0.17331828009791664,0.05881747956627997,66.96762496001698
mistral-7b,aqua,complex,correct,0.7057156578600406,-0.053269740433218284,-0.17481365261733975,0.0570992782329451,66.0738381126954
mistral-7b,aqua,complex,correct,0.713995647728443,-0.054410782883806824,-0.17603143771652932,0.05689262629570889,65.17784373202007
mistral-7b,aqua,complex,correct,0.7222756375968455,-0.055773781484226,-0.1769026436141282,0.056043618532632705,64.26005105586341
mistral-7b,aqua,complex,correct,0.730555627465248,-0.05734533155568731,-0.17836872172601206,0.05780597036963898,63.29938338752609
mistral-7b,aqua,complex,correct,0.7388356173336506,-0.05911469273790696,-0.1811687028362947,0.054943984057692394,62.27435454389579
mistral-7b,aqua,complex,correct,0.7471156072020531,-0.06107019680692328,-0.18408675349673853,0.05165079888250391,61.16439907668452
mistral-7b,aqua,complex,correct,0.7553955970704556,-0.06319546237324428,-0.18653476788557224,0.04878907917899604,59.95144549243542
mistral-7b,aqua,complex,correct,0.7636755869388581,-0.06546545946004846,-0.18906948085718167,0.04814468429735768,58.62162089772475
mistral-7b,aqua,complex,correct,0.7719555768072605,-0.06784247532774418,-0.19419786696288796,0.04661331555750925,57.16687161506584
mistral-7b,aqua,complex,correct,0.780235566675663,-0.07027207005088273,-0.19842490588646267,0.04554160355513652,55.586196405631064
mistral-7b,aqua,complex,correct,0.7885155565440654,-0.07267918110369528,-0.19915578456491584,0.04716000316580934,53.88614462022064
